Request ID,Memory Required,Node Allocated,Node Data,Time Taken,Failed Requests
	1,			5,			
								6,			4
								7,			2
								8,			1
								9,			1
								10,			2
								11,			1
								12,			1
								15,			1

	2,			5,			
								17,			2
								18,			1
								19,			1
								22,			2
								23,			1
								24,			1
								26,			1

	3,			2,			
								7,			2
								8,			1
								9,			1

	4,			19,			
								35,			16
								36,			8
								37,			4
								38,			2
								39,			1
								40,			1
								41,			2
								42,			1
								43,			1
								44,			4
								45,			2
								46,			1
								47,			1
								48,			2
								49,			1
								50,			1
								51,			8
								52,			4
								53,			2
								54,			1
								55,			1
								56,			2
								57,			1
								58,			1
								59,			4
								60,			2
								61,			1
								62,			1
								63,			2
								64,			1
								65,			1
								70,			2
								71,			1
								72,			1
								74,			1

	5,			25,			
								83,			8
								84,			4
								85,			2
								86,			1
								87,			1
								88,			2
								89,			1
								90,			1
								91,			4
								92,			2
								93,			1
								94,			1
								95,			2
								96,			1
								97,			1
								98,			16
								99,			8
								100,			4
								101,			2
								102,			1
								103,			1
								104,			2
								105,			1
								106,			1
								107,			4
								108,			2
								109,			1
								110,			1
								111,			2
								112,			1
								113,			1
								114,			8
								115,			4
								116,			2
								117,			1
								118,			1
								119,			2
								120,			1
								121,			1
								122,			4
								123,			2
								124,			1
								125,			1
								126,			2
								127,			1
								128,			1
								135,			1

	6,			31,			
								20,			8
								21,			4
								22,			2
								23,			1
								24,			1
								25,			2
								26,			1
								27,			1
								28,			4
								29,			2
								30,			1
								31,			1
								32,			2
								33,			1
								34,			1
								147,			8
								148,			4
								149,			2
								150,			1
								151,			1
								152,			2
								153,			1
								154,			1
								155,			4
								156,			2
								157,			1
								158,			1
								159,			2
								160,			1
								161,			1
								163,			8
								164,			4
								165,			2
								166,			1
								167,			1
								168,			2
								169,			1
								170,			1
								171,			4
								172,			2
								173,			1
								174,			1
								175,			2
								176,			1
								177,			1
								179,			4
								180,			2
								181,			1
								182,			1
								183,			2
								184,			1
								185,			1
								187,			2
								188,			1
								189,			1
								191,			1

	7,			1,			
								11,			1

	8,			6,			
								13,			4
								14,			2
								15,			1
								16,			1
								17,			2
								18,			1
								19,			1
								75,			1
								78,			1

	9,			25,			
								194,			16
								195,			8
								196,			4
								197,			2
								198,			1
								199,			1
								200,			2
								201,			1
								202,			1
								203,			4
								204,			2
								205,			1
								206,			1
								207,			2
								208,			1
								209,			1
								210,			8
								211,			4
								212,			2
								213,			1
								214,			1
								215,			2
								216,			1
								217,			1
								218,			4
								219,			2
								220,			1
								221,			1
								222,			2
								223,			1
								224,			1
								226,			8
								227,			4
								228,			2
								229,			1
								230,			1
								231,			2
								232,			1
								233,			1
								234,			4
								235,			2
								236,			1
								237,			1
								238,			2
								239,			1
								240,			1
								244,			1

														87884,		0
